,Age,City_Category,Gender,Marital_Status,Occupation,Stay_In_Current_City_Years
144,51-55,C,M,0.0,1.0,0
145,36-45,C,M,1.0,1.0,0
146,18-25,C,M,0.0,1.0,0
147,36-45,C,F,0.0,1.0,0
148,55+,A,M,1.0,1.0,0
149,36-45,C,M,1.0,2.0,0
150,18-25,C,M,0.0,2.0,0
151,26-35,A,M,0.0,2.0,0
152,26-35,B,M,1.0,2.0,0
153,46-50,C,F,1.0,2.0,0
154,26-35,A,M,0.0,2.0,0
155,18-25,A,F,0.0,2.0,0
156,26-35,A,M,1.0,2.0,0
157,18-25,C,M,1.0,2.0,0
158,26-35,C,M,0.0,2.0,0
159,46-50,A,F,0.0,2.0,0
160,26-35,B,M,1.0,2.0,0
161,26-35,C,M,1.0,2.0,0
162,36-45,A,M,1.0,2.0,0
163,18-25,A,F,0.0,2.0,0
164,26-35,A,M,1.0,2.0,0
165,26-35,B,M,0.0,2.0,0
166,36-45,C,M,0.0,2.0,0
167,46-50,B,F,0.0,2.0,0
168,26-35,A,M,0.0,2.0,0
169,36-45,A,F,0.0,2.0,0
170,18-25,C,M,0.0,2.0,0
171,36-45,A,F,0.0,2.0,0
172,18-25,C,M,0.0,2.0,0
173,26-35,B,F,1.0,2.0,0
174,26-35,C,F,0.0,2.0,0
175,36-45,B,F,0.0,2.0,0
176,18-25,B,M,0.0,3.0,0
177,36-45,B,M,0.0,3.0,0
178,36-45,C,F,1.0,3.0,0
179,51-55,B,M,1.0,3.0,0
180,36-45,B,F,0.0,3.0,0
181,18-25,C,F,0.0,3.0,0
182,36-45,C,M,0.0,3.0,0
183,18-25,C,F,0.0,3.0,0
184,36-45,C,M,0.0,3.0,0
185,26-35,B,F,1.0,3.0,0
186,26-35,B,M,0.0,3.0,0
187,18-25,C,M,0.0,3.0,0
188,26-35,C,F,1.0,3.0,0
189,26-35,A,F,0.0,3.0,0
190,46-50,A,M,1.0,3.0,0
191,51-55,C,F,1.0,3.0,0
192,26-35,C,M,0.0,4.0,0
193,18-25,B,F,0.0,4.0,0
194,26-35,B,F,0.0,4.0,0
195,18-25,A,M,0.0,4.0,0
196,18-25,C,F,0.0,4.0,0
197,18-25,B,F,0.0,4.0,0
198,26-35,A,M,1.0,4.0,0
199,18-25,B,M,0.0,4.0,0
200,26-35,C,F,1.0,4.0,0
201,26-35,B,M,1.0,4.0,0
202,18-25,C,M,0.0,4.0,0
203,18-25,A,M,0.0,4.0,0
204,18-25,C,M,1.0,4.0,0
205,18-25,B,M,0.0,4.0,0
206,26-35,A,M,1.0,4.0,0
207,18-25,B,M,1.0,4.0,0
208,18-25,C,M,0.0,4.0,0
209,18-25,C,M,0.0,4.0,0
210,18-25,C,M,1.0,4.0,0
211,26-35,A,M,0.0,4.0,0
212,26-35,C,M,0.0,4.0,0
213,18-25,C,M,1.0,4.0,0
214,18-25,C,F,1.0,4.0,0
215,36-45,C,M,0.0,4.0,0
216,18-25,B,M,0.0,4.0,0
217,26-35,B,M,1.0,4.0,0
218,26-35,A,F,0.0,4.0,0
219,18-25,C,M,0.0,4.0,0
220,18-25,A,M,0.0,4.0,0
221,18-25,B,M,1.0,4.0,0
222,18-25,C,M,0.0,4.0,0
223,18-25,C,F,0.0,4.0,0
224,18-25,B,M,1.0,4.0,0
225,18-25,B,F,0.0,4.0,0
226,18-25,A,M,0.0,4.0,0
227,26-35,C,M,0.0,4.0,0
228,18-25,C,M,0.0,4.0,0
229,18-25,B,M,0.0,4.0,0
230,18-25,B,M,1.0,4.0,0
231,26-35,B,M,0.0,4.0,0
232,26-35,C,M,0.0,4.0,0
233,18-25,C,M,0.0,4.0,0
234,26-35,A,F,0.0,4.0,0
235,26-35,B,F,0.0,4.0,0
236,26-35,C,M,0.0,4.0,0
237,18-25,C,M,0.0,4.0,0
238,26-35,A,M,1.0,4.0,0
239,26-35,C,F,0.0,4.0,0
240,18-25,C,M,0.0,4.0,0
241,18-25,C,F,0.0,4.0,0
242,18-25,C,F,0.0,4.0,0
243,26-35,B,F,1.0,4.0,0
244,18-25,C,F,0.0,4.0,0
245,18-25,A,M,0.0,4.0,0
246,26-35,C,M,0.0,4.0,0
247,18-25,C,M,0.0,4.0,0
248,18-25,C,F,0.0,4.0,0
249,18-25,B,F,0.0,4.0,0
250,18-25,B,F,0.0,4.0,0
251,18-25,C,M,0.0,4.0,0
252,0-17,C,M,0.0,4.0,0
253,18-25,C,F,0.0,4.0,0
254,18-25,A,M,0.0,4.0,0
255,26-35,B,F,0.0,4.0,0
256,18-25,C,M,0.0,4.0,0
257,26-35,C,M,1.0,4.0,0
258,18-25,B,F,0.0,4.0,0
259,51-55,C,F,0.0,4.0,0
260,26-35,A,F,0.0,4.0,0
261,18-25,A,M,1.0,4.0,0
262,18-25,C,F,1.0,4.0,0
263,18-25,C,F,0.0,4.0,0
264,18-25,C,M,0.0,4.0,0
265,36-45,A,M,1.0,4.0,0
266,26-35,A,F,0.0,4.0,0
267,18-25,C,F,0.0,4.0,0
268,18-25,C,M,0.0,4.0,0
269,18-25,A,M,0.0,4.0,0
270,26-35,B,M,0.0,5.0,0
271,46-50,B,M,0.0,5.0,0
272,26-35,B,M,0.0,5.0,0
273,46-50,B,M,1.0,5.0,0
274,18-25,C,F,0.0,5.0,0
275,18-25,C,M,1.0,5.0,0
276,26-35,B,M,1.0,5.0,0
277,18-25,A,M,0.0,5.0,0
278,36-45,C,M,1.0,5.0,0
279,26-35,B,M,1.0,5.0,0
280,18-25,C,M,0.0,5.0,0
281,26-35,B,M,1.0,5.0,0
282,18-25,C,M,0.0,5.0,0
283,18-25,C,M,0.0,5.0,0
284,51-55,B,M,0.0,5.0,0
285,51-55,C,F,1.0,5.0,0
286,18-25,C,F,1.0,5.0,0
287,51-55,C,M,1.0,6.0,0
288,36-45,C,F,0.0,6.0,0
289,36-45,B,M,1.0,6.0,0
290,36-45,B,M,0.0,6.0,0
291,26-35,A,F,1.0,6.0,0
292,36-45,C,F,1.0,6.0,0
293,26-35,C,M,0.0,6.0,0
294,46-50,C,M,0.0,6.0,0
295,26-35,C,F,0.0,6.0,0
296,26-35,C,F,0.0,6.0,0
297,26-35,C,F,0.0,6.0,0
298,46-50,C,M,1.0,6.0,0
299,36-45,B,M,0.0,6.0,0
300,51-55,B,M,1.0,6.0,0
301,26-35,B,F,1.0,6.0,0
302,46-50,A,M,0.0,6.0,0
303,51-55,C,M,1.0,6.0,0
304,36-45,A,F,0.0,6.0,0
305,36-45,C,M,0.0,6.0,0
306,55+,C,M,1.0,6.0,0
307,51-55,A,M,1.0,6.0,0
308,26-35,C,M,0.0,6.0,0
309,36-45,C,M,1.0,6.0,0
310,26-35,C,M,1.0,7.0,0
311,51-55,C,M,0.0,7.0,0
312,46-50,B,M,0.0,7.0,0
313,26-35,C,M,1.0,7.0,0
314,26-35,B,M,1.0,7.0,0
315,46-50,B,F,1.0,7.0,0
316,26-35,B,M,1.0,7.0,0
317,46-50,B,M,0.0,7.0,0
318,36-45,C,M,0.0,7.0,0
319,36-45,A,F,0.0,7.0,0
320,26-35,C,M,0.0,7.0,0
321,36-45,C,F,0.0,7.0,0
322,18-25,A,M,0.0,7.0,0
323,51-55,B,F,1.0,7.0,0
324,36-45,B,F,0.0,7.0,0
325,26-35,C,M,0.0,7.0,0
326,46-50,B,F,1.0,7.0,0
327,36-45,C,M,0.0,7.0,0
328,36-45,C,F,0.0,7.0,0
329,36-45,C,M,0.0,7.0,0
330,36-45,B,M,0.0,7.0,0
331,36-45,B,M,1.0,7.0,0
332,26-35,B,M,1.0,7.0,0
333,51-55,C,M,1.0,7.0,0
334,26-35,B,M,0.0,7.0,0
335,36-45,C,M,0.0,7.0,0
336,26-35,C,M,0.0,7.0,0
337,51-55,B,M,0.0,7.0,0
338,46-50,C,F,1.0,7.0,0
339,26-35,A,M,0.0,7.0,0
340,36-45,C,M,0.0,7.0,0
341,36-45,C,M,1.0,7.0,0
342,36-45,B,M,1.0,7.0,0
343,46-50,B,M,1.0,7.0,0
344,36-45,B,M,1.0,7.0,0
345,26-35,C,F,1.0,7.0,0
346,26-35,C,M,0.0,7.0,0
347,26-35,C,M,1.0,7.0,0
348,26-35,A,M,0.0,7.0,0
349,51-55,C,M,1.0,7.0,0
350,36-45,B,F,1.0,7.0,0
351,51-55,B,F,0.0,7.0,0
352,26-35,A,M,0.0,7.0,0
353,36-45,A,M,1.0,7.0,0
354,26-35,C,M,1.0,7.0,0
355,26-35,C,M,0.0,7.0,0
356,26-35,A,M,0.0,7.0,0
357,18-25,B,M,0.0,7.0,0
358,36-45,A,M,1.0,7.0,0
359,46-50,C,F,0.0,7.0,0
360,55+,C,M,1.0,7.0,0
361,26-35,C,M,0.0,7.0,0
362,18-25,C,M,0.0,7.0,0
363,26-35,C,M,0.0,7.0,0
364,26-35,C,M,1.0,7.0,0
365,36-45,C,F,1.0,7.0,0
366,26-35,A,M,1.0,7.0,0
367,55+,B,M,1.0,7.0,0
368,26-35,C,M,0.0,7.0,0
369,26-35,C,M,1.0,7.0,0
370,51-55,C,M,1.0,7.0,0
371,46-50,B,M,1.0,7.0,0
372,26-35,C,M,1.0,7.0,0
373,36-45,B,F,1.0,7.0,0
374,26-35,A,M,0.0,7.0,0
375,46-50,C,M,1.0,7.0,0
376,46-50,B,M,1.0,7.0,0
377,36-45,A,M,0.0,7.0,0
378,26-35,C,M,1.0,7.0,0
379,36-45,C,M,1.0,7.0,0
380,46-50,C,F,1.0,7.0,0
381,36-45,C,F,0.0,9.0,0
382,46-50,B,F,1.0,9.0,0
383,18-25,B,F,1.0,9.0,0
384,26-35,C,F,1.0,9.0,0
385,36-45,C,F,1.0,9.0,0
386,36-45,B,F,1.0,9.0,0
387,26-35,C,F,1.0,9.0,0
388,36-45,A,F,0.0,9.0,0
389,0-17,C,M,0.0,10.0,0
390,0-17,C,M,0.0,10.0,0
391,0-17,A,M,0.0,10.0,0
392,0-17,C,F,0.0,10.0,0
393,0-17,C,M,0.0,10.0,0
394,0-17,C,F,0.0,10.0,0
395,0-17,C,M,0.0,10.0,0
396,0-17,C,M,0.0,10.0,0
397,0-17,A,F,0.0,10.0,0
398,18-25,C,M,0.0,10.0,0
399,0-17,C,F,0.0,10.0,0
400,0-17,C,M,0.0,10.0,0
401,0-17,C,M,0.0,10.0,0
402,0-17,C,M,0.0,10.0,0
403,0-17,C,M,0.0,10.0,0
404,0-17,C,M,0.0,10.0,0
405,0-17,A,F,0.0,10.0,0
406,0-17,B,M,0.0,10.0,0
407,36-45,B,M,0.0,11.0,0
408,26-35,C,M,0.0,11.0,0
409,46-50,C,M,0.0,11.0,0
410,51-55,C,M,1.0,11.0,0
411,26-35,C,M,0.0,11.0,0
412,26-35,C,M,1.0,11.0,0
413,51-55,C,M,1.0,11.0,0
414,46-50,B,M,0.0,11.0,0
415,36-45,B,M,0.0,11.0,0
416,26-35,A,M,0.0,11.0,0
417,26-35,C,M,0.0,11.0,0
418,26-35,A,M,0.0,11.0,0
419,46-50,B,M,0.0,11.0,0
420,18-25,B,M,0.0,11.0,0
421,26-35,C,M,0.0,12.0,0
422,26-35,B,M,1.0,12.0,0
423,18-25,C,M,0.0,12.0,0
424,26-35,C,M,0.0,12.0,0
425,26-35,A,M,1.0,12.0,0
426,26-35,A,M,1.0,12.0,0
427,36-45,C,M,1.0,12.0,0
428,26-35,A,M,0.0,12.0,0
429,51-55,A,M,1.0,12.0,0
430,26-35,B,M,0.0,12.0,0
431,26-35,A,M,0.0,12.0,0
432,51-55,A,M,1.0,12.0,0
433,26-35,C,M,0.0,12.0,0
434,26-35,B,M,1.0,12.0,0
435,18-25,A,M,0.0,12.0,0
436,18-25,C,M,1.0,12.0,0
437,18-25,B,M,0.0,12.0,0
438,18-25,C,M,0.0,12.0,0
439,26-35,A,M,0.0,12.0,0
440,26-35,C,M,0.0,12.0,0
441,26-35,A,M,0.0,12.0,0
442,18-25,C,M,0.0,12.0,0
443,36-45,C,M,1.0,12.0,0
444,26-35,B,M,0.0,12.0,0
445,26-35,C,M,1.0,12.0,0
446,26-35,A,M,1.0,12.0,0
447,26-35,A,F,0.0,12.0,0
448,26-35,C,M,0.0,12.0,0
449,26-35,C,M,0.0,12.0,0
450,18-25,C,M,0.0,12.0,0
451,26-35,B,F,0.0,12.0,0
452,36-45,B,M,1.0,12.0,0
453,46-50,C,F,1.0,12.0,0
454,26-35,B,M,0.0,12.0,0
455,26-35,B,M,0.0,12.0,0
456,36-45,C,F,0.0,12.0,0
457,36-45,B,M,0.0,12.0,0
458,36-45,C,M,0.0,12.0,0
459,46-50,C,M,1.0,12.0,0
460,46-50,C,M,0.0,12.0,0
461,18-25,C,M,0.0,12.0,0
462,18-25,A,M,0.0,12.0,0
463,18-25,B,M,0.0,12.0,0
464,18-25,C,M,0.0,12.0,0
465,46-50,C,M,0.0,13.0,0
466,51-55,B,M,0.0,13.0,0
467,55+,B,M,0.0,13.0,0
468,55+,C,M,0.0,13.0,0
469,36-45,C,M,0.0,13.0,0
470,55+,C,F,1.0,13.0,0
471,51-55,B,M,1.0,13.0,0
472,55+,C,F,1.0,13.0,0
473,55+,C,M,1.0,13.0,0
474,55+,C,M,1.0,13.0,0
475,26-35,A,M,1.0,14.0,0
476,18-25,B,F,0.0,14.0,0
477,26-35,B,F,1.0,14.0,0
478,26-35,A,M,0.0,14.0,0
479,26-35,B,F,1.0,14.0,0
480,36-45,C,F,0.0,14.0,0
481,51-55,C,M,0.0,14.0,0
482,36-45,C,M,0.0,14.0,0
483,18-25,B,M,1.0,14.0,0
484,36-45,C,F,0.0,14.0,0
485,26-35,A,F,1.0,14.0,0
486,26-35,A,M,0.0,14.0,0
487,36-45,C,M,1.0,14.0,0
488,36-45,C,M,0.0,14.0,0
489,26-35,B,M,0.0,14.0,0
490,26-35,A,F,1.0,14.0,0
491,46-50,C,M,1.0,14.0,0
492,55+,A,M,0.0,14.0,0
493,46-50,C,M,1.0,14.0,0
494,36-45,B,F,0.0,14.0,0
495,26-35,C,M,0.0,14.0,0
496,26-35,B,M,0.0,14.0,0
497,26-35,C,M,0.0,14.0,0
498,26-35,C,F,0.0,14.0,0
499,26-35,C,M,0.0,14.0,0
500,18-25,B,M,0.0,14.0,0
501,55+,C,F,1.0,14.0,0
502,36-45,B,F,1.0,14.0,0
503,55+,C,M,1.0,14.0,0
504,26-35,C,M,0.0,14.0,0
505,26-35,C,M,0.0,14.0,0
506,18-25,C,M,0.0,14.0,0
507,26-35,A,M,0.0,15.0,0
508,18-25,B,M,0.0,15.0,0
509,26-35,C,F,0.0,15.0,0
510,36-45,C,M,1.0,15.0,0
511,18-25,C,M,0.0,15.0,0
512,46-50,C,F,0.0,15.0,0
513,26-35,B,M,0.0,15.0,0
514,55+,B,M,1.0,15.0,0
515,26-35,B,M,0.0,15.0,0
516,26-35,A,F,1.0,15.0,0
517,36-45,C,M,1.0,15.0,0
518,51-55,C,M,1.0,16.0,0
519,26-35,B,M,0.0,16.0,0
520,36-45,C,M,0.0,16.0,0
521,26-35,A,M,0.0,16.0,0
522,26-35,C,M,1.0,16.0,0
523,55+,C,M,1.0,16.0,0
524,46-50,C,M,1.0,16.0,0
525,51-55,C,F,1.0,16.0,0
526,46-50,B,M,0.0,16.0,0
527,51-55,B,M,1.0,16.0,0
528,36-45,A,M,1.0,16.0,0
529,51-55,C,M,0.0,16.0,0
530,51-55,C,M,1.0,16.0,0
531,36-45,C,M,1.0,16.0,0
532,36-45,A,M,0.0,16.0,0
533,26-35,A,M,1.0,16.0,0
534,55+,C,M,0.0,16.0,0
535,18-25,B,M,0.0,16.0,0
536,26-35,B,M,0.0,16.0,0
537,36-45,C,M,1.0,16.0,0
538,46-50,B,F,1.0,16.0,0
539,36-45,B,M,0.0,16.0,0
540,26-35,A,M,0.0,17.0,0
541,26-35,C,M,0.0,17.0,0
542,18-25,C,M,0.0,17.0,0
543,36-45,C,M,1.0,17.0,0
544,18-25,C,M,0.0,17.0,0
545,26-35,C,M,0.0,17.0,0
546,55+,C,M,0.0,17.0,0
547,26-35,C,M,0.0,17.0,0
548,26-35,B,M,0.0,17.0,0
549,46-50,B,M,0.0,17.0,0
550,46-50,C,M,0.0,17.0,0
551,26-35,B,M,0.0,17.0,0
552,51-55,C,M,1.0,17.0,0
553,46-50,C,M,1.0,17.0,0
554,36-45,C,M,0.0,17.0,0
555,46-50,C,M,1.0,17.0,0
556,36-45,A,F,0.0,17.0,0
557,36-45,B,M,0.0,17.0,0
558,26-35,B,M,1.0,17.0,0
559,36-45,A,M,1.0,17.0,0
560,26-35,A,M,1.0,17.0,0
561,46-50,C,M,0.0,17.0,0
562,26-35,B,M,0.0,17.0,0
563,36-45,C,M,0.0,17.0,0
564,26-35,C,M,0.0,17.0,0
565,36-45,C,M,0.0,17.0,0
566,46-50,C,M,0.0,17.0,0
567,55+,B,M,1.0,17.0,0
568,36-45,C,M,0.0,17.0,0
569,46-50,C,M,0.0,17.0,0
570,46-50,C,M,1.0,17.0,0
571,26-35,A,M,0.0,17.0,0
572,55+,C,M,0.0,17.0,0
573,46-50,C,M,1.0,17.0,0
574,36-45,B,M,0.0,17.0,0
575,26-35,C,M,0.0,17.0,0
576,36-45,B,M,1.0,17.0,0
577,51-55,C,M,0.0,17.0,0
578,36-45,C,M,0.0,17.0,0
579,36-45,C,M,1.0,17.0,0
580,26-35,B,M,0.0,17.0,0
581,26-35,C,M,1.0,17.0,0
582,26-35,C,F,0.0,17.0,0
583,55+,A,M,1.0,17.0,0
584,26-35,C,M,0.0,17.0,0
585,51-55,C,M,1.0,17.0,0
586,36-45,B,M,1.0,17.0,0
587,26-35,C,M,0.0,17.0,0
588,26-35,C,M,0.0,17.0,0
589,36-45,C,M,0.0,17.0,0
590,36-45,C,M,0.0,17.0,0
591,46-50,C,M,0.0,17.0,0
592,18-25,B,M,0.0,17.0,0
593,26-35,C,M,0.0,17.0,0
594,18-25,B,M,0.0,17.0,0
595,55+,C,M,1.0,17.0,0
596,26-35,C,M,0.0,17.0,0
597,18-25,C,M,0.0,18.0,0
598,18-25,B,M,0.0,18.0,0
599,51-55,C,F,1.0,18.0,0
600,36-45,C,M,1.0,18.0,0
601,26-35,A,M,1.0,18.0,0
602,36-45,C,M,0.0,19.0,0
603,36-45,A,M,0.0,19.0,0
604,18-25,C,M,0.0,19.0,0
605,18-25,C,F,0.0,19.0,0
606,26-35,A,F,0.0,19.0,0
607,18-25,B,M,0.0,19.0,0
608,36-45,B,M,0.0,19.0,0
609,0-17,C,M,0.0,19.0,0
610,26-35,C,F,0.0,19.0,0
611,0-17,C,M,0.0,19.0,0
612,26-35,B,M,0.0,20.0,0
613,26-35,C,M,0.0,20.0,0
614,36-45,A,M,1.0,20.0,0
615,26-35,C,M,0.0,20.0,0
616,18-25,B,M,0.0,20.0,0
617,18-25,B,F,1.0,20.0,0
618,36-45,B,M,0.0,20.0,0
619,51-55,C,F,1.0,20.0,0
620,51-55,B,M,1.0,20.0,0
621,36-45,C,M,1.0,20.0,0
622,26-35,B,F,0.0,20.0,0
623,36-45,B,M,0.0,20.0,0
624,26-35,A,M,0.0,20.0,0
625,26-35,B,M,0.0,20.0,0
626,26-35,C,M,0.0,20.0,0
627,36-45,A,M,1.0,20.0,0
628,46-50,B,M,0.0,20.0,0
629,26-35,C,F,0.0,20.0,0
630,46-50,B,F,0.0,20.0,0
631,26-35,A,M,0.0,20.0,0
632,36-45,C,M,1.0,20.0,0
633,46-50,A,M,1.0,20.0,0
634,36-45,B,F,1.0,20.0,0
635,18-25,B,M,0.0,20.0,0
636,36-45,A,M,1.0,20.0,0
637,55+,C,M,0.0,20.0,0
638,36-45,B,F,1.0,20.0,0
639,26-35,B,M,0.0,20.0,0
640,51-55,A,M,1.0,20.0,0
641,51-55,A,F,1.0,20.0,0
642,51-55,C,M,1.0,8.0,1
643,51-55,B,F,0.0,8.0,1
644,36-45,A,M,0.0,8.0,1
645,46-50,B,M,1.0,8.0,1
646,36-45,C,M,0.0,8.0,1
647,26-35,A,M,0.0,8.0,1
648,51-55,C,F,0.0,0.0,1
649,26-35,C,M,0.0,0.0,1
650,18-25,C,M,1.0,0.0,1
651,26-35,B,M,1.0,0.0,1
652,26-35,B,M,0.0,0.0,1
653,36-45,B,M,0.0,0.0,1
654,36-45,A,M,1.0,0.0,1
655,26-35,B,M,0.0,0.0,1
656,46-50,C,F,1.0,0.0,1
657,36-45,B,M,0.0,0.0,1
658,26-35,C,F,1.0,0.0,1
659,26-35,C,M,1.0,0.0,1
660,46-50,B,F,1.0,0.0,1
661,26-35,A,M,0.0,0.0,1
662,18-25,C,M,0.0,0.0,1
663,36-45,C,M,0.0,0.0,1
664,26-35,B,M,1.0,0.0,1
665,46-50,B,F,1.0,0.0,1
666,46-50,C,F,0.0,0.0,1
667,26-35,C,F,1.0,0.0,1
668,51-55,C,M,1.0,0.0,1
669,26-35,C,M,1.0,0.0,1
670,26-35,C,M,0.0,0.0,1
671,26-35,A,M,0.0,0.0,1
672,46-50,C,M,0.0,0.0,1
673,26-35,C,M,0.0,0.0,1
674,36-45,C,F,0.0,0.0,1
675,26-35,B,F,0.0,0.0,1
676,26-35,A,F,1.0,0.0,1
677,26-35,C,M,0.0,0.0,1
678,26-35,B,M,1.0,0.0,1
679,36-45,C,M,1.0,0.0,1
680,46-50,C,M,1.0,0.0,1
681,26-35,A,F,0.0,0.0,1
682,36-45,C,M,1.0,0.0,1
683,36-45,C,M,0.0,0.0,1
684,18-25,B,M,0.0,0.0,1
685,26-35,A,F,0.0,0.0,1
686,26-35,C,F,0.0,0.0,1
687,26-35,C,M,0.0,0.0,1
688,36-45,C,M,0.0,0.0,1
689,36-45,A,F,0.0,0.0,1
690,51-55,A,M,0.0,0.0,1
691,0-17,B,F,0.0,0.0,1
692,18-25,C,M,0.0,0.0,1
693,26-35,B,M,0.0,0.0,1
694,18-25,C,M,0.0,0.0,1
695,26-35,B,M,0.0,0.0,1
696,36-45,B,M,0.0,0.0,1
